period,fueltypeid,fuelTypeDescription,generation,generation-units,year,month
2025-06-01,SUN,solar,31611.39224,thousand megawatthours,2025,6
2025-06-01,COL,"coal, excluding waste coal",63673.92079,thousand megawatthours,2025,6
2025-06-01,ALL,all fuels,393048.6895,thousand megawatthours,2025,6
2025-06-01,NUC,nuclear,66222.276,thousand megawatthours,2025,6
2025-06-01,NG,natural gas,165109.94223,thousand megawatthours,2025,6
2025-06-01,HYC,conventional hydroelectric,21974.60053,thousand megawatthours,2025,6
2025-06-01,WND,wind,35851.35654,thousand megawatthours,2025,6
2025-05-01,ALL,all fuels,343704.4575,thousand megawatthours,2025,5
2025-05-01,WND,wind,36906.51258,thousand megawatthours,2025,5
2025-05-01,SUN,solar,29596.1074,thousand megawatthours,2025,5
2025-05-01,NUC,nuclear,62144.818,thousand megawatthours,2025,5
2025-05-01,NG,natural gas,135168.70364,thousand megawatthours,2025,5
2025-05-01,HYC,conventional hydroelectric,24033.56215,thousand megawatthours,2025,5
2025-05-01,COL,"coal, excluding waste coal",48034.59615,thousand megawatthours,2025,5
2025-04-01,ALL,all fuels,321347.27031,thousand megawatthours,2025,4
2025-04-01,WND,wind,45731.48261,thousand megawatthours,2025,4
2025-04-01,SUN,solar,26611.66153,thousand megawatthours,2025,4
2025-04-01,NUC,nuclear,57892.519,thousand megawatthours,2025,4
2025-04-01,NG,natural gas,115960.37535,thousand megawatthours,2025,4
2025-04-01,HYC,conventional hydroelectric,22414.84826,thousand megawatthours,2025,4
2025-04-01,COL,"coal, excluding waste coal",45107.83193,thousand megawatthours,2025,4
2025-03-01,SUN,solar,23067.39819,thousand megawatthours,2025,3
2025-03-01,NUC,nuclear,62456.661,thousand megawatthours,2025,3
2025-03-01,NG,natural gas,118919.93448,thousand megawatthours,2025,3
2025-03-01,HYC,conventional hydroelectric,22034.00596,thousand megawatthours,2025,3
2025-03-01,COL,"coal, excluding waste coal",48428.31306,thousand megawatthours,2025,3
2025-03-01,ALL,all fuels,333846.23016,thousand megawatthours,2025,3
2025-03-01,WND,wind,50691.77463,thousand megawatthours,2025,3
2025-02-01,ALL,all fuels,339147.9353,thousand megawatthours,2025,2
2025-02-01,WND,wind,39420.00917,thousand megawatthours,2025,2
2025-02-01,SUN,solar,16374.30422,thousand megawatthours,2025,2
2025-02-01,NUC,nuclear,61828.502,thousand megawatthours,2025,2
2025-02-01,NG,natural gas,132339.57223,thousand megawatthours,2025,2
2025-02-01,HYC,conventional hydroelectric,19331.17353,thousand megawatthours,2025,2
2025-02-01,COL,"coal, excluding waste coal",61474.67563,thousand megawatthours,2025,2
2025-01-01,SUN,solar,15355.45712,thousand megawatthours,2025,1
2025-01-01,NUC,nuclear,71738.938,thousand megawatthours,2025,1
2025-01-01,NG,natural gas,156526.71341,thousand megawatthours,2025,1
2025-01-01,HYC,conventional hydroelectric,21192.35254,thousand megawatthours,2025,1
2025-01-01,COL,"coal, excluding waste coal",82560.87835,thousand megawatthours,2025,1
2025-01-01,ALL,all fuels,401502.62962,thousand megawatthours,2025,1
2025-01-01,WND,wind,43630.08115,thousand megawatthours,2025,1
2024-12-01,NUC,nuclear,71200.098,thousand megawatthours,2024,12
2024-12-01,NG,natural gas,145365.01275,thousand megawatthours,2024,12
2024-12-01,HYC,conventional hydroelectric,20384.32831,thousand megawatthours,2024,12
2024-12-01,COL,"coal, excluding waste coal",62330.60951,thousand megawatthours,2024,12
2024-12-01,ALL,all fuels,361284.04473,thousand megawatthours,2024,12
2024-12-01,WND,wind,40343.06835,thousand megawatthours,2024,12
2024-12-01,SUN,solar,12942.0623,thousand megawatthours,2024,12
2024-11-01,WND,wind,40960.54107,thousand megawatthours,2024,11
2024-11-01,NG,natural gas,137041.41254,thousand megawatthours,2024,11
2024-11-01,HYC,conventional hydroelectric,18275.92039,thousand megawatthours,2024,11
2024-11-01,COL,"coal, excluding waste coal",44659.46487,thousand megawatthours,2024,11
2024-11-01,ALL,all fuels,324140.91112,thousand megawatthours,2024,11
2024-11-01,SUN,solar,13878.34018,thousand megawatthours,2024,11
2024-11-01,NUC,nuclear,61904.051,thousand megawatthours,2024,11
2024-10-01,ALL,all fuels,334119.15232,thousand megawatthours,2024,10
2024-10-01,WND,wind,40053.82313,thousand megawatthours,2024,10
2024-10-01,SUN,solar,19524.80836,thousand megawatthours,2024,10
2024-10-01,NUC,nuclear,58773.349,thousand megawatthours,2024,10
2024-10-01,NG,natural gas,146347.74525,thousand megawatthours,2024,10
2024-10-01,HYC,conventional hydroelectric,15821.35795,thousand megawatthours,2024,10
2024-10-01,COL,"coal, excluding waste coal",46549.24637,thousand megawatthours,2024,10
2024-09-01,ALL,all fuels,359609.14705,thousand megawatthours,2024,9
2024-09-01,WND,wind,28995.2059,thousand megawatthours,2024,9
2024-09-01,SUN,solar,20263.85436,thousand megawatthours,2024,9
2024-09-01,NUC,nuclear,62660.468,thousand megawatthours,2024,9
2024-09-01,NG,natural gas,169393.44023,thousand megawatthours,2024,9
2024-09-01,HYC,conventional hydroelectric,16665.75643,thousand megawatthours,2024,9
2024-09-01,COL,"coal, excluding waste coal",54281.99454,thousand megawatthours,2024,9
2024-08-01,SUN,solar,24055.33215,thousand megawatthours,2024,8
2024-08-01,NUC,nuclear,69760.288,thousand megawatthours,2024,8
2024-08-01,NG,natural gas,203074.90468,thousand megawatthours,2024,8
2024-08-01,HYC,conventional hydroelectric,21364.13449,thousand megawatthours,2024,8
2024-08-01,COL,"coal, excluding waste coal",68339.71167,thousand megawatthours,2024,8
2024-08-01,ALL,all fuels,423536.49437,thousand megawatthours,2024,8
2024-08-01,WND,wind,28763.96196,thousand megawatthours,2024,8
2024-07-01,ALL,all fuels,430456.15612,thousand megawatthours,2024,7
2024-07-01,WND,wind,27970.5392,thousand megawatthours,2024,7
2024-07-01,SUN,solar,24200.47301,thousand megawatthours,2024,7
2024-07-01,NUC,nuclear,69885.242,thousand megawatthours,2024,7
2024-07-01,NG,natural gas,207717.35786,thousand megawatthours,2024,7
2024-07-01,HYC,conventional hydroelectric,21187.54055,thousand megawatthours,2024,7
2024-07-01,COL,"coal, excluding waste coal",70831.60498,thousand megawatthours,2024,7
2024-06-01,COL,"coal, excluding waste coal",60687.99094,thousand megawatthours,2024,6
2024-06-01,ALL,all fuels,390102.6162,thousand megawatthours,2024,6
2024-06-01,WND,wind,38160.41225,thousand megawatthours,2024,6
2024-06-01,SUN,solar,24293.63739,thousand megawatthours,2024,6
2024-06-01,NUC,nuclear,68192.147,thousand megawatthours,2024,6
