year,fueltypeid,generation
2001,ALL,3736643.6489999997
2001,COL,1894168.81
2001,HYC,216961.04499999998
2001,NG,639129.1190000001
2001,NUC,768826.308
2001,SUN,542.755
2001,WND,6737.331
2002,ALL,3858452.251
2002,COL,1924869.958
2002,HYC,264328.831
2002,NG,691005.747
2002,NUC,780064.087
2002,SUN,554.831
2002,WND,10354.278
2003,ALL,3883185.204
2003,COL,1964749.817
2003,HYC,275806.328
2003,NG,649907.54
2003,NUC,763732.695
2003,SUN,534.00137
2003,WND,11187.465
2004,ALL,3970555.26327
2004,COL,1967775.14383
2004,HYC,268417.30837
2004,NG,710100.0165500001
2004,NUC,788528.387
2004,SUN,575.1550100000001
2004,WND,14143.74076
2005,ALL,4055422.7496499997
2005,COL,2000238.36256
2005,HYC,270321.25495
2005,NG,760960.25437
2005,NUC,781986.365
2005,SUN,550.2943399999999
2005,WND,17810.549030000002
2006,ALL,4064702.22742
2006,COL,1976618.50718
2006,HYC,289246.41567
2006,NG,816440.76959
2006,NUC,787218.636
2006,SUN,507.70601
2006,WND,26589.137000000002
2007,ALL,4156744.72385
2007,COL,2003094.68902
2007,HYC,247509.97431
2007,NG,896589.79108
2007,NUC,806424.753
2007,SUN,611.793
2007,WND,34449.92742
2008,ALL,4119387.75956
2008,COL,1972168.72095
2008,HYC,254831.38511
2008,NG,882980.59907
2008,NUC,806208.435
2008,SUN,864.3148
2008,WND,55363.100080000004
2009,ALL,3950330.92649
2009,COL,1742768.03187
2009,HYC,273445.09418
2009,NG,920978.6805199999
2009,NUC,798854.585
2009,SUN,891.1794
2009,WND,73886.1317
2010,ALL,4125059.8989399998
2010,COL,1834372.35956
2010,HYC,260203.06939
2010,NG,987697.23369
2010,NUC,806968.30056
2010,SUN,1212.18157
2010,WND,94652.2461
2011,ALL,4100140.92612
2011,COL,1721494.1049900001
2011,HYC,319354.90345
2011,NG,1013688.92926
2011,NUC,790204.367
2011,SUN,1817.69565
2011,WND,120176.59863
2012,ALL,4047765.26667
2012,COL,1504440.37264
2012,HYC,276240.2193
2012,NG,1225894.17539
2012,NUC,769331.249
2012,SUN,4326.6752400000005
2012,WND,140821.71472
2013,ALL,4065964.06745
2013,COL,1571276.83038
2013,HYC,268565.38273
2013,NG,1124835.55985
2013,NUC,789016.473
2013,SUN,9035.62039
2013,WND,167839.74545
2014,ALL,4093537.98382
2014,COL,1571142.15196
2014,HYC,259366.62187
2014,NG,1126608.95833
2014,NUC,797165.982
2014,SUN,17691.03119
2014,WND,181655.2818
2015,ALL,4077527.8795499997
2015,COL,1343720.26296
2015,HYC,249080.08483
2015,NG,1333482.1101
2015,NUC,797177.877
2015,SUN,24892.9036
2015,WND,190718.5477
2016,ALL,4076609.81251
2016,COL,1230022.44234
2016,HYC,267812.15309
2016,NG,1378306.93393
2016,NUC,805693.948
2016,SUN,36054.12116
2016,WND,226992.56213
2017,ALL,4034182.85784
2017,COL,1197019.17429
2017,HYC,300332.92966
2017,NG,1296442.4911
2017,NUC,804949.635
2017,SUN,53286.865079999996
2017,WND,254302.69522
2018,ALL,4178277.34372
2018,COL,1140412.9683
2018,HYC,292523.98883
2018,NG,1469132.68209
2018,NUC,807084.477
2018,SUN,63825.31455
2018,WND,272667.45373
2019,ALL,4127855.21341
2019,COL,958047.85983
2019,HYC,287873.73051
2019,NG,1585814.17365
2019,NUC,809409.262
2019,SUN,71936.82223
2019,WND,295882.48349
2020,ALL,4007135.46679
2020,COL,767511.9765699999
2020,HYC,285273.89483
2020,NG,1624166.86943
2020,NUC,789878.863
2020,SUN,89198.71513
2020,WND,337938.04903
2021,ALL,4109699.38983
2021,COL,890916.15958
2021,HYC,251584.84235
2021,NG,1579189.98739
2021,NUC,779644.595
2021,SUN,115258.24835
2021,WND,378196.77483
2022,ALL,4230667.56321
2022,COL,823573.50003
2022,HYC,254788.66707
2022,NG,1687064.7392199999
2022,NUC,771537.17649
2022,SUN,143791.88788
2022,WND,434297.35817
2023,ALL,4183270.67229
2023,COL,668045.81432
2023,HYC,245002.33841
2023,NG,1806063.07249
2023,NUC,774873.169
2023,SUN,165530.34863
2023,WND,421141.33522999997
2024,ALL,4304038.7169
2024,COL,645744.11571
2024,HYC,242225.73147
2024,NG,1864873.80986
2024,NUC,781979.422
2024,SUN,218537.77543
2024,WND,453454.15092
